Product_Type,Country_Code,Country_Name,2014,2015,2016,2017,2018,Jan-Mar 18,Jan-Mar 19
Lamb imports,,"Total
 ",5389,4046,4593,4982,5032,1139,1378
Broiler exports,2010,Mexico,1533710,1472971,1415068,1323119,1435489,320411,349604
Broiler exports,7620,Angola,508954,310252,250368,387900,461646,97202,74059
Broiler exports,2390,Cuba,316753,233555,343148,459496,430419,124579,128906
Broiler exports,1220,Canada,358921,399626,357960,334796,311417,75119,66973
Broiler exports,5830,China (Taiwan),253992,384740,332932,339507,439318,152798,150248
Broiler exports,5820,Hong Kong,231260,292271,332538,286731,252522,64862,58022
Broiler exports,2050,Guatemala,184739,229656,262574,266085,271898,71274,65565
Broiler exports,5650,Philippines,188027,158093,199286,229104,250532,53414,28005
Broiler exports,5520,Vietnam,125887,170156,183385,170389,222828,55070,82056
Broiler exports,5050,Iraq,195141,161646,185290,162985,125995,29282,18685
Broiler exports,4634,Kazakhstan,95634,144300,182660,178925,135887,44789,17450
Broiler exports,2450,Haiti,119811,145439,174339,142344,141827,36187,35815
Broiler exports,3370,Chile,85888,110705,171079,163219,159759,34766,35272
Broiler exports,5200,United Arab Emirates,164582,128846,147285,132056,117105,44720,43326
Broiler exports,4633,Georgia,193622,148617,75292,133261,117777,21919,59682
Broiler exports,3010,Colombia,74939,72205,139543,128232,158185,24045,45013
Broiler exports,4890,Turkey,133832,73430,97089,115382,118302,32348,19263
Broiler exports,7910,Republic of South Africa,32394,123,79128,209889,215149,64514,53221
Broiler exports,7490,Ghana,119520,84151,116659,117497,94033,21404,23645
Broiler exports,7630,Congo (Brazzville),78842,93267,106842,112081,132437,20605,16437
Broiler exports,,Other countries,2300644,1506581,1492172,1398131,1476032,318795,350625
Broiler exports,,"Total
 ",7297089,6320631,6644640,6791131,7068559,1708102,1721873
Other chicken exports,2010,Mexico,80376,99514,109793,84411,60191,16550,11952
Other chicken exports,1220,Canada,3092,5637,12204,5242,628,95,522
Other chicken exports,5820,Hong Kong,469,496,4961,10238,10436,3201,1781
Other chicken exports,2470,Dominican Republic,2188,5390,8292,3852,862,296,776
Other chicken exports,3370,Chile,1201,4724,4868,4842,605,499,2
Other chicken exports,2360,Bahamas,3087,3446,2147,4990,1934,748,407
Other chicken exports,2740,Trinidad and Tobago,899,11608,1571,160,63,,599
Other chicken exports,3010,Colombia,2808,2549,2546,3783,497,218,4
Other chicken exports,2250,Panama,1133,1753,1738,679,474,107,114
Other chicken exports,2230,Costa Rica,163,1194,2263,1651,372,87,126
Other chicken exports,2484,Antigua & Barbuda,1239,632,729,1248,1219,258,304
Other chicken exports,2390,Cuba,,,3178,1144,,,
Other chicken exports,5650,Philippines,268,507,356,2250,595,5,13
Other chicken exports,2450,Haiti,1923,210,140,374,180,6,355
Other chicken exports,5520,Vietnam,58,78,103,116,2375,,924
Other chicken exports,2440,Cayman Islands,970,806,325,262,242,23,64
Other chicken exports,2150,Honduras,649,404,303,680,349,242,
Other chicken exports,5880,Japan,1286,810,48,7,135,,4
Other chicken exports,7490,Ghana,1134,,,899,,,
Other chicken exports,5570,Malaysia,1203,550,,,63,,
Other chicken exports,,Other countries,4660,3877,2487,3610,2618,384,897
Other chicken exports,,"Total
 ",108805,144185,158051,130441,83837,22721,18844
Turkey exports,2010,Mexico,499384,337722,337281,384648,382599,102636,81998
Turkey exports,5820,Hong Kong,13098,20912,53297,30129,34449,7994,2829
Turkey exports,5880,Japan,13175,15681,21129,21195,17608,5374,3234
Turkey exports,1220,Canada,19434,16893,12752,13359,12291,3041,3274
Turkey exports,2470,Dominican Republic,9584,9361,16754,16442,13129,2899,2732
Turkey exports,5700,China (Mainland),56773,636,115,,475,147,
Turkey exports,7610,Benin,14377,10098,5614,11156,11926,4774,8586
Turkey exports,2250,Panama,10320,11020,9870,9011,8416,976,1644
Turkey exports,2450,Haiti,3915,4364,9104,12879,11311,2247,2363
Turkey exports,2410,Jamaica,6045,7348,4033,8584,10654,2627,3057
Turkey exports,2050,Guatemala,6181,6234,6384,8122,8505,1319,1627
Turkey exports,2360,Bahamas,5190,5733,6931,6874,6985,1428,1359
Turkey exports,5830,China (Taiwan),5585,6053,7566,6091,4357,757,936
Turkey exports,5650,Philippines,14116,6729,4275,1874,2090,393,278
Turkey exports,7910,Republic of South Africa,3957,1,2140,9733,11931,2879,8901
Turkey exports,2230,Costa Rica,5650,5004,6030,4848,5790,1760,1471
Turkey exports,3010,Colombia,9268,4676,4097,4042,4375,690,1687
Turkey exports,7630,Congo (Brazzville),5565,4660,4847,5279,5328,407,866
Turkey exports,3330,Peru,1651,1614,4723,8625,7111,1853,4628
Turkey exports,7550,Gabon,6160,7571,1735,3160,4971,724,2146
Turkey exports,,Other countries,65286,46642,50718,56103,46570,7906,13062
Turkey exports,,"Total
 ",774714,528954,569393,622155,610872,152832,146677
"Egg exports,",1220,Canada,115339,126079,68538,68710,91229,15929,20418
"Egg exports,",2010,Mexico,115511,90555,77223,77526,63788,17635,17876
"Egg exports,",5880,Japan,43303,26866,30273,56291,51513,17992,4611
"Egg exports,",5820,Hong Kong,44821,27447,33142,36751,45849,9498,10581
"Egg exports,",2410,Jamaica,3104,5707,22029,11363,7382,1893,1943
"Egg exports,",2740,Trinidad and Tobago,6991,6280,9736,6988,5748,1449,1469
"Egg exports,",5200,United Arab Emirates,3814,1905,6562,13831,4034,1804,937
"Egg exports,",5800,South Korea,3751,1016,721,17348,6981,3042,654
"Egg exports,",4120,United Kingdom,7537,7446,4356,3764,6411,976,135
"Egg exports,",5650,Philippines,4820,3227,3397,3267,4634,1052,712
"Egg exports,",6021,Australia,7450,3254,1362,2214,1712,1627,3
"Egg exports,",4280,"Germany, Fed. Republic",2999,2614,1793,5712,2865,1128,494
"Egg exports,",4099,Denmark,483,0,7508,5787,2049,1149,339
"Egg exports,",2230,Costa Rica,3689,3235,3772,2090,2699,793,504
"Egg exports,",3120,Guyana,1853,2357,4237,2864,2643,692,610
"Egg exports,",2360,Bahamas,2136,2055,2580,3085,2720,677,852
"Egg exports,",5830,China (Taiwan),3333,927,802,2216,4823,293,995
"Egg exports,",4231,Belgium,4022,3664,1421,626,902,435,413
"Egg exports,",4759,Italy,197,43,57,8528,1053,997,6
"Egg exports,",2720,Barbados,1265,1656,1553,1636,1519,465,390
"Egg exports,",,Other countries,37965,25509,23118,24254,22524,4360,4883
"Egg exports,",,"Total
 ",414385,341841,304178,354852,333080,83885,68826
Shell egg exports,2010,Mexico,73085,69018,62840,58351,50143,12621,12467
Shell egg exports,1220,Canada,73105,88357,40547,43391,64082,10466,12456
Shell egg exports,5820,Hong Kong,41640,26241,31683,34457,43650,8977,10054
Shell egg exports,2410,Jamaica,3099,5707,22009,11340,7364,1875,1937
Shell egg exports,2740,Trinidad and Tobago,6595,5721,8992,6262,4837,1289,1193
Shell egg exports,5200,United Arab Emirates,1846,699,5145,8790,3199,1488,790
Shell egg exports,3120,Guyana,1853,2354,4237,2864,2641,692,610
Shell egg exports,2360,Bahamas,1657,1539,1611,1521,1976,471,624
Shell egg exports,2720,Barbados,1232,1637,1536,1553,1240,340,332
Shell egg exports,4890,Turkey,2007,1867,967,417,358,78,21
Shell egg exports,5230,Oman,449,248,1306,2352,1020,114,135
Shell egg exports,4623,Ukraine,2920,1458,1,1,1,0,0
Shell egg exports,2190,Nicaragua,893,939,847,880,552,227,24
Shell egg exports,5830,China (Taiwan),1350,84,342,1062,1041,265,529
Shell egg exports,2450,Haiti,185,364,1395,1092,838,70,385
Shell egg exports,5081,Israel,1297,1458,809,179,39,,
Shell egg exports,4700,Spain,1191,766,631,153,258,52,70
Shell egg exports,2779,Aruba,379,392,320,769,1042,214,353
Shell egg exports,2320,Bermuda,508,685,423,481,589,151,136
Shell egg exports,3510,Brazil,465,870,573,202,452,80,97
Shell egg exports,,Other countries,7285,7695,9323,7315,8005,1512,1414
Shell egg exports,,"Total
 ",223040,218098,195535,183431,193327,40982,43628
,,,,,,,,,
